000001	12.1
000009	18.53
000027	9.97
000039	21.75
000046	13.07
000060	14.31
000061	18.4
000063	19.07
000069	8.85
000100	4.34
000156	33.69
000157	5.39
000333	33.45
000338	9.75
000402	12.05
000413	9.25
000415	8.95
000423	52.71
000425	4.28
000503	34.65
000538	74.35
000540	9.34
000559	23.01
000568	26.87
000623	31.5
000625	16.99
000630	3.62
000651	22.85
000686	17.48
000709	3.33
000712	29.81
000725	2.99
000728	22.95
000729	8.29
000738	32.33
000750	13.0
000768	24.75
000776	19.92
000778	6.58
000783	12.45
000792	25.99
000793	15.55
000800	16.32
000825	4.1
000826	39.07
000839	21.5
000858	27.68
000876	19.21
000883	6.2
000895	20.46
000898	4.76
000917	27.04
000963	81.98
000977	33.14
000999	27.09
002007	45.0
002008	26.49
002024	13.79
002027	45.06
002081	19.16
002129	12.15
002142	15.79
002146	9.78
002152	31.29
002153	153.0
002183	47.01
002195	38.35
002202	22.5
002230	38.11
002236	37.92
002241	35.92
002252	39.94
002292	53.32
002294	30.36
002304	66.89
002385	12.52
002399	36.07
002415	34.95
002422	18.6
002424	26.1
002450	39.47
002456	32.77
002465	16.7
002470	20.28
002475	31.95
002500	15.42
002568	43.44
002594	66.01
002673	34.2
002736	19.71
002739	120.68
300002	13.5
300003	39.48
300015	32.8
300017	61.15
300024	70.65
300027	42.2
300058	15.25
300059	54.26
300070	52.3
300085	59.44
300104	55.2
300124	48.52
300133	30.95
300144	29.47
300146	39.19
300168	35.1
300251	30.52
300315	14.21
