000001	104
000009	104
000027	104
000039	104
000046	98
000060	103
000061	104
000063	82
000069	104
000100	104
000156	104
000157	104
000333	94
000338	104
000402	104
000413	99
000415	19
000423	104
000425	104
000503	94
000538	104
000540	101
000559	104
000568	86
000623	103
000625	84
000630	104
000651	29
000686	98
000709	104
000712	79
000725	104
000728	104
000729	104
000738	104
000750	104
000768	104
000776	104
000778	104
000783	104
000792	104
000793	104
000800	104
000825	104
000826	87
000839	104
000858	104
000876	67
000883	104
000895	104
000898	104
000917	59
000963	104
000977	104
000999	104
002007	104
002008	104
002024	104
002027	104
002081	104
002129	73
002142	103
002146	104
002152	102
002153	104
002183	104
002195	104
002202	104
002230	61
002236	104
002241	104
002252	104
002292	104
002294	104
002304	104
002385	104
002399	104
002415	104
002422	104
002424	104
002450	71
002456	104
002465	81
002470	96
002475	104
002500	104
002568	94
002594	104
002673	96
002736	104
002739	33
300002	104
300003	87
300015	104
300017	104
300024	104
300027	104
300058	98
300059	99
300070	104
300085	100
300104	2
300124	104
300133	104
300144	103
300146	104
300168	102
300251	70
300315	104
